Source,Station,Latitude,Longitude,Year,Date,Datetime,SampleID,TowType,AmphipodCode,Tide,BottomDepth,Chl,Secchi,Temperature,Turbidity,Microcystis,pH,DO,SalSurf,SalBott,SizeClass,Volume,Phylum,Class,Order,Family,Genus,Species,Taxname,Lifestage,Taxlifestage,CPUE,Undersampled
DOP,19-36-RVV-01,38.160734,-121.683346,2019,2019-04-01,2019-04-01 15:27:00,DOP 19-36-RVV-01 2019-04-01 ICF667,Bottom,NA,NA,11.82624,NA,NA,NA,NA,NA,NA,NA,NA,0.0864528376028947,Macro,12.9591,Arthropoda,Malacostraca,Mysida,Mysidae,Alienacanthomysis,macropsis,Alienacanthomysis macropsis,Adult,Alienacanthomysis macropsis Adult,0,FALSE
DOP,19-36-RVV-01,38.160734,-121.683346,2019,2019-04-01,2019-04-01 15:27:00,DOP 19-36-RVV-01 2019-04-01 ICF667,Bottom,NA,NA,11.82624,NA,NA,NA,NA,NA,NA,NA,NA,0.0864528376028947,Macro,12.9591,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,spinicorne,Americorophium spinicorne,Adult,Americorophium spinicorne Adult,0,FALSE
DOP,19-36-RVV-01,38.160734,-121.683346,2019,2019-04-01,2019-04-01 15:27:00,DOP 19-36-RVV-01 2019-04-01 ICF667,Bottom,NA,NA,11.82624,NA,NA,NA,NA,NA,NA,NA,NA,0.0864528376028947,Macro,12.9591,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,stimpsoni,Americorophium stimpsoni,Adult,Americorophium stimpsoni Adult,0,FALSE
DOP,19-36-RVV-01,38.160734,-121.683346,2019,2019-04-01,2019-04-01 15:27:00,DOP 19-36-RVV-01 2019-04-01 ICF667,Bottom,NA,NA,11.82624,NA,NA,NA,NA,NA,NA,NA,NA,0.0864528376028947,Macro,12.9591,Arthropoda,Malacostraca,Amphipoda,NA,NA,NA,Amphipoda_UnID,Adult,Amphipoda_UnID Adult,0,FALSE
DOP,19-36-RVV-01,38.160734,-121.683346,2019,2019-04-01,2019-04-01 15:27:00,DOP 19-36-RVV-01 2019-04-01 ICF667,Bottom,NA,NA,11.82624,NA,NA,NA,NA,NA,NA,NA,NA,0.0864528376028947,Macro,12.9591,Arthropoda,Malacostraca,Amphipoda,Corophiidae,NA,NA,Corophiidae_UnID,Adult,Corophiidae_UnID Adult,0,FALSE
DOP,19-36-RVV-01,38.160734,-121.683346,2019,2019-04-01,2019-04-01 15:27:00,DOP 19-36-RVV-01 2019-04-01 ICF667,Bottom,NA,NA,11.82624,NA,NA,NA,NA,NA,NA,NA,NA,0.0864528376028947,Macro,12.9591,Arthropoda,Malacostraca,Amphipoda,Crangonycitidae,Crangonyx,NA,Crangonyx_UnID,Adult,Crangonyx_UnID Adult,0.385829263,FALSE
DOP,19-36-RVV-01,38.160734,-121.683346,2019,2019-04-01,2019-04-01 15:27:00,DOP 19-36-RVV-01 2019-04-01 ICF667,Bottom,NA,NA,11.82624,NA,NA,NA,NA,NA,NA,NA,NA,0.0864528376028947,Macro,12.9591,Arthropoda,Malacostraca,Mysida,Mysidae,Deltamysis,holmquistae,Deltamysis holmquistae,Adult,Deltamysis holmquistae Adult,0,FALSE
DOP,19-36-RVV-01,38.160734,-121.683346,2019,2019-04-01,2019-04-01 15:27:00,DOP 19-36-RVV-01 2019-04-01 ICF667,Bottom,NA,NA,11.82624,NA,NA,NA,NA,NA,NA,NA,NA,0.0864528376028947,Macro,12.9591,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,NA,Gammarus_UnID,Adult,Gammarus_UnID Adult,0.154331705,FALSE
DOP,19-36-RVV-01,38.160734,-121.683346,2019,2019-04-01,2019-04-01 15:27:00,DOP 19-36-RVV-01 2019-04-01 ICF667,Bottom,NA,NA,11.82624,NA,NA,NA,NA,NA,NA,NA,NA,0.0864528376028947,Macro,12.9591,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,Hyalella,NA,Hyalella_UnID,Adult,Hyalella_UnID Adult,0.154331705,FALSE
DOP,19-36-RVV-01,38.160734,-121.683346,2019,2019-04-01,2019-04-01 15:27:00,DOP 19-36-RVV-01 2019-04-01 ICF667,Bottom,NA,NA,11.82624,NA,NA,NA,NA,NA,NA,NA,NA,0.0864528376028947,Macro,12.9591,Arthropoda,Malacostraca,Mysida,Mysidae,Hyperacanthomysis,longirostris,Hyperacanthomysis longirostris,Adult,Hyperacanthomysis longirostris Adult,0,FALSE
